
Summary,ECU
Emissions
,CO2e_GAN_FERM,246444
,CO2e_GAN_GE,10157.2
,CO2e_GAN_GED,6720.37
,CO2e_GAN_GEI,2243.96
,CO2e_AGR_DIR,47215
,CO2e_AGR_IND,23130.2
,CO2e_ENC,666.74
,CO2e_URE,5420.19
,CO2e_BIO,1669.52
,CO2e_ARR,34877.2
,EXT_REGAIR,74.5361
,CH4_FERMEN,8404.37
,CH4_GED,2212.7
,CH4_ARR,1245.56
,CH4_BIO,47.7703
,N2O_FERMEN,2.94677
,N2O_GEI,35.7595
,N2O_AGR_DIR,178.219
,N2O_AGR_IND,87.263
,N2O_BIO,1.24049
,NOX_BIO,44.5058
,CO_BIO,1637.83
,N2O_GED,44.1382

Cost,12256.7

TID Demand

,ECU
Fuel,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
E5GANEXPOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPCBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPCAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPCAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPMUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5GANEXPAVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E4ELE_HEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5TRXTRAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E6TDFREHEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
